Country/Region,Date,total_cases,total_deaths,total_recovered,new_cases,new_recovered,new_deaths,infected_5,infected_6,infected_7,infected_8,infected_9,infected_10,gr_infected_5,gr_infected_6,gr_infected_7,gr_infected_8,gr_infected_9,gr_infected_10
Denmark,2020-03-11,444,0,1,180.0,0.0,0.0,391.2000000000001,400.0,406.28571428571433,411.0,414.6666666666666,417.6,0.4818181818181819,0.5151515151515151,0.5389610389610391,0.5568181818181819,0.5707070707070705,0.581818181818182
Denmark,2020-03-12,617,0,1,173.0,0.0,0.0,485.96,506.33333333333337,521.2448979591836,532.625,541.5925925925926,548.84,0.2422290388548056,0.26583333333333337,0.2829515772553748,0.2959245742092458,0.3060914612361558,0.3142720306513409
Denmark,2020-03-13,804,0,1,187.0,0.0,0.0,575.768,608.9444444444447,633.7813411078719,653.046875,668.4156378600824,680.956,0.184805333772327,0.2026552556506476,0.2158993662850208,0.22609129312367984,0.2341668756221173,0.24071860651556
Denmark,2020-03-14,836,1,1,32.0,0.0,1.0,492.6144000000001,539.4537037037038,575.2411495210331,603.416015625,626.1472336534065,644.8604,-0.14442205888482862,-0.11411671684457016,-0.09236654314326842,-0.07599892331618617,-0.06323670754023236,-0.053007242758709834
Denmark,2020-03-15,875,2,1,39.0,0.0,1.0,433.09152000000006,488.5447530864199,532.0638424465999,566.989013671875,595.5753188030279,619.3743599999999,-0.1208305725532992,-0.09437130613389166,-0.07505948959038178,-0.06036797335482558,-0.04882544105800701,-0.03952179417436708
Denmark,2020-03-16,933,3,1,58.0,0.0,1.0,404.47321600000015,465.1206275720166,514.0547220970857,554.1153869628906,587.4002833804693,615.4369240000002,-0.06607911417891521,-0.047946734391106534,-0.033847668104456274,-0.022705248952909263,-0.013726283082026836,-0.006357118173248133
Denmark,2020-03-17,1025,4,1,92.0,0.0,1.0,415.57857280000013,479.6005229766805,532.6183332260733,576.8509635925292,614.1335852270837,645.8932316000001,0.027456346577964696,0.0311314840630712,0.03611213034530159,0.041030401184584564,0.04551121714270412,0.04948729335583391
Denmark,2020-03-18,1116,4,1,91.0,0.0,0.0,423.46285824000006,490.6671024805671,547.529999908063,595.7445931434631,636.8965202018521,672.3039084400001,0.01897182856873214,0.023074577640576743,0.02799690838967095,0.0327530519031598,0.03706511990604056,0.04089015884959135
Denmark,2020-03-19,1225,6,1,109.0,0.0,2.0,447.77028659200005,517.8892520671393,578.3114284926255,630.2765190005302,675.1302401794239,714.0735175960001,0.05740155926077373,0.05547987515150421,0.05621870690141373,0.057964312650927274,0.06003129042918065,0.06212905894437126
Denmark,2020-03-20,1337,9,1,112.0,0.0,3.0,470.2162292736001,543.5743767226161,607.6955101365362,663.4919541254641,712.1157690483769,754.6661658364002,0.050128254048380734,0.049595786266958486,0.05081013481006358,0.052699781958568837,0.05478280584665196,0.05684659525962976
