Country/Region,flag,sigma2_irregular,sigma2_level,signal_to_noise
Afghanistan,0,0.0042675128964900265,7.471013315464804e-05,0.017506715261738554
Albania,0,0.0017275104617228045,0.00012302404970291722,0.07121464814761717
Algeria,0,0.0007465567681425587,0.0001457056369374683,0.19517020426991172
Andorra,0,0.03045317283864493,9.295115399093903e-05,0.0030522650130230264
Antigua and Barbuda,0,0.0223461728511404,9.37875052508788e-05,0.0041970276465525735
Argentina,0,0.003651947535480574,3.873239802195623e-05,0.010605956861551484
Armenia,0,0.002786615610702314,5.5172479225903975e-05,0.019799099313880176
Australia,0,0.0067556378842765046,0.00032929225240993195,0.04874332491626696
Austria,0,0.003198787512526479,0.00023702961735591233,0.0740998320231345
Azerbaijan,0,0.0012936138823682359,0.00015771882922487458,0.12192110132285891
Bahamas,0,0.021674116172517167,0.0004906939902223741,0.02263963089967079
Bahrain,0,0.004947953347852388,1.270503124766088e-05,0.0025677346479378946
Bangladesh,0,0.0007986052118902163,8.034130921517953e-05,0.1006020346711987
Belarus,0,0.004481528037365027,7.297335898520726e-05,0.016283142351623644
Belgium,0,0.008437391333974585,0.00016723406542535062,0.019820588948144948
Bolivia,0,0.004041132582857155,4.772730144735353e-05,0.011810377528769286
Brazil,0,0.0072786280029817,5.172471231788801e-05,0.007106382177616292
Brunei,0,0.0054838045560838995,3.1293375302962515e-05,0.005706508133708867
Bulgaria,0,0.0055564481343510505,9.394697233337355e-05,0.016907738552003206
Burma,0,0.014253984120081904,0.00016342993648698365,0.011465561846440767
Cambodia,0,0.014248283380071797,5.5900552562281145e-05,0.0039233184146565915
Canada,0,0.005764408008639863,9.6172742680227e-05,0.016683888880884297
Central African Republic,0,0.01911871610159018,3.3978407716170455e-05,0.0017772327145620585
Chad,0,0.017723926847358518,5.0635283467792187e-05,0.002856888538520379
Chile,0,0.0057729294129487485,8.282891218587473e-05,0.014347813087769357
China,0,0.011069953854858127,0.0006019853821694996,0.05438011667097547
Colombia,0,0.0017564257274891254,3.6674284050430016e-05,0.020880065394428743
Congo (Kinshasa),0,0.013886714099084829,1.4656123682710735e-05,0.0010554061657881049
Costa Rica,0,0.009163372518330675,2.2288336364190154e-05,0.0024323289618100674
Cote d'Ivoire,0,0.01026614714231995,2.5352442957340415e-05,0.0024695187596552657
Croatia,0,0.006401780037593696,0.0007351901078843131,0.11484151338643254
Cuba,0,0.004714581570936447,0.0003740294313636999,0.07933459751114398
Cyprus,0,0.01073382163381277,0.00018455663073862704,0.01719393493154875
Czechia,0,0.004624230360964855,0.00021721707900169371,0.04697367173472104
Denmark,0,0.008930715114007934,7.020365694033112e-05,0.00786092222673365
Djibouti,0,0.02389077410134308,0.0005176389322744583,0.0216668966053033
Dominican Republic,0,0.005218723288207825,6.153256335360513e-05,0.011790731172247337
Ecuador,0,0.014456090846576352,0.0001694545474038411,0.011722017328354931
Egypt,0,0.0012538486535984188,6.114779150135647e-05,0.04876808004368669
