Country/Region,flag,sigma2_irregular,sigma2_level,signal_to_noise
Afghanistan,0,0.004281095674607395,7.479430853761668e-05,0.017470833221795684
Albania,0,0.0017344283237895983,0.00012243191574885936,0.07058920456358475
Andorra,0,0.030546792160428958,9.330256287873675e-05,0.0030544144337225406
Antigua and Barbuda,0,0.02200808754109792,0.00012276623439955346,0.005578232736956344
Argentina,0,0.00365974928098217,3.837558851239817e-05,0.010485851780015728
Armenia,0,0.0027933758946943775,5.569557248488095e-05,0.019938445302211855
Australia,0,0.0067492036841760574,0.0003312784268970443,0.049084076047926646
Austria,0,0.003204503635922696,0.00023823130642306668,0.07434265442937187
Azerbaijan,0,0.00129424698364815,0.0001594748411674432,0.12321824441724762
Bahamas,0,0.02173784160099266,0.00048125434441643274,0.02213901238448882
Bahrain,0,0.004953882026431948,1.3135461741896544e-05,0.0026515491632241005
Bangladesh,0,0.0008013123988751432,8.062560075723842e-05,0.10061693899959376
Belarus,0,0.004495529939930903,7.312888892985261e-05,0.01626702299995729
Belgium,0,0.008460018779806903,0.00016726456105123767,0.019771180821782457
Bolivia,0,0.0040506785001374265,4.645796823102116e-05,0.011469181824586916
Brazil,0,0.007285747111258276,5.175246553469145e-05,0.007103247579746644
Brunei,0,0.005410036142319908,3.675200475355664e-05,0.006793301151181739
Bulgaria,0,0.005517819060854589,9.505133023781403e-05,0.01722624993489596
Burma,0,0.01430670731731907,0.00016182592791808134,0.01131119301798968
Cambodia,0,0.014276654407042665,5.43984714474317e-05,0.0038103094672234253
Canada,0,0.00577871563108345,9.644019731513388e-05,0.01668886366312722
Central African Republic,0,0.01919509783360374,3.374449339216571e-05,0.0017579745456202463
Chad,0,0.017782174264655556,5.123201038088816e-05,0.0028810880839649972
Chile,0,0.00579026339400803,8.314551713155644e-05,0.014359539708953201
China,0,0.011099213038746733,0.0006033993221101338,0.05436415356689708
Congo (Kinshasa),0,0.013923634361333164,1.3993596493966113e-05,0.0010050247033796893
Costa Rica,0,0.009157642448368471,2.112136903019479e-05,0.0023064199273206804
Cote d'Ivoire,0,0.010294028571473502,2.5753988315408535e-05,0.0025018376563260376
Croatia,0,0.006411346052622284,0.0007376799016998033,0.11505850653593831
Cuba,0,0.004729172766377026,0.00037512438667405205,0.07932135390380995
Cyprus,0,0.010766386224744632,0.00018459982132943792,0.017145940845514896
Czechia,0,0.004619968066398344,0.00021986708049091764,0.047590606110470945
Denmark,0,0.00895622463116911,7.044572924735836e-05,0.007865560785757408
Djibouti,0,0.02396737694057438,0.0005195966646282572,0.02167932961193729
Dominican Republic,0,0.005235142892924938,6.134321133263443e-05,0.011717581083705861
Ecuador,0,0.014500127589815047,0.00016973311035302366,0.011705628747173572
Egypt,0,0.0012579446937049162,6.114072097876999e-05,0.04860366380551873
Equatorial Guinea,0,0.03817621729162343,5.473279497138154e-05,0.0014336882712418688
Eritrea,0,0.04130284005381292,5.85948611927383e-05,0.001418664215739059
Estonia,0,0.009653407549288172,0.00016870561653014045,0.01747627619250164
Eswatini,0,0.00640309554973613,0.00017000133932726548,0.026549867639296933
Ethiopia,0,0.003906875395339818,0.0007254337599842761,0.18568131475336655
Finland,0,0.005332170696421861,4.63991311104858e-05,0.008701734012683017
France,0,0.016740462202889102,0.00018641155331406304,0.011135388680122092
Gambia,0,0.034877413974948035,9.1385790823864e-05,0.0026201997341174766
Georgia,0,0.004983102798328962,0.0004777037420094163,0.09586471749481265
Germany,0,0.00819009537312428,0.00019096106229598783,0.023316097505118774
Greece,0,0.007001108832252884,9.700473043022776e-05,0.013855623838233157
Guatemala,0,0.00723102416219512,7.722961237121616e-06,0.001068031452238594
Guyana,0,0.014595683125413797,4.7916112028789674e-05,0.003282896156148993
Hungary,0,0.0037815831701791852,0.0002140309663050618,0.056598243823610055
Iceland,0,0.01919747497039998,0.00033124170896486205,0.01725444150731249
India,0,0.0033960231263960297,3.4699028204553006e-05,0.010217547676530915
Indonesia,0,0.0009680460956104856,4.22714210185512e-05,0.04366674398071228
Iran,0,0.0002677361984918907,0.000582805870204181,2.176791459231215
Iraq,0,0.001656759731284548,0.00013777244111922202,0.0831577678511065
Ireland,0,0.00777821690737446,0.00029408939124521123,0.03780935846188445
Israel,0,0.008082896868417663,0.00030210676509408884,0.037376050939671376
Italy,0,0.0014572275669530517,0.00016166425556084088,0.11093960835428616
Jamaica,0,0.012019815536575473,7.065992996789275e-05,0.005878620162920091
Japan,0,0.0018263639143459864,0.00022174376018989334,0.12141269242570361
Jordan,0,0.005448892630665119,0.00022500177996658086,0.04129312049577237
Kazakhstan,0,0.006926909632306915,2.362877765333121e-05,0.0034111571981720744
Kenya,0,0.0035684783657985325,7.544010531176604e-05,0.021140692916849033
Kosovo,0,0.017004719944414024,8.17899459064264e-05,0.004809837867003158
Kuwait,0,0.0016352819997991215,0.0002553080238210841,0.15612476860409777
