Country/Region,Date,total_cases,total_deaths,total_recovered,new_cases,new_recovered,new_deaths,infected_5,infected_6,infected_7,infected_8,infected_9,infected_10,gr_infected_5,gr_infected_6,gr_infected_7,gr_infected_8,gr_infected_9,gr_infected_10
Cabo Verde,2020-04-27,109,1,1,3.0,0.0,0.0,87.80000000000003,91.33333333333334,93.85714285714286,95.75,97.2222222222222,98.4,-0.17169811320754702,-0.1383647798742137,-0.11455525606468996,-0.09669811320754718,-0.08280922431865834,-0.07169811320754715
Cabo Verde,2020-04-28,114,1,2,5.0,1.0,0.0,75.24000000000002,81.11111111111113,85.44897959183675,88.78125,91.41975308641977,93.56,-0.14305239179954446,-0.11192214111922127,-0.08958469232441824,-0.0727806788511749,-0.05968253968253968,-0.04918699186991871
Cabo Verde,2020-04-29,114,1,2,0.0,0.0,0.0,60.19200000000001,67.59259259259261,73.24198250728864,77.68359375,81.26200274348422,84.20400000000002,-0.2,-0.16666666666666666,-0.1428571428571429,-0.125,-0.11111111111111116,-0.09999999999999998
Cabo Verde,2020-04-30,121,1,4,7.0,2.0,0.0,55.15360000000001,63.32716049382718,69.77884214910455,74.97314453125,79.23289132754151,82.7836,-0.08370547581073884,-0.06310502283105024,-0.04728354202918328,-0.034890883491728315,-0.02496999024683022,-0.016868557313191812
Cabo Verde,2020-05-01,122,1,18,1.0,14.0,0.0,45.12288000000001,53.772633744855995,60.8104361278039,66.60150146484375,71.42923673559247,75.50524000000001,-0.1818688172666879,-0.15087565389739088,-0.12852615126712494,-0.11166189065094922,-0.0984900899260316,-0.08792031271894417
Cabo Verde,2020-05-02,152,2,18,30.0,0.0,1.0,66.09830400000001,74.81052812071331,82.12323096668906,88.27631378173828,93.49265487608218,97.95471600000002,0.4648511797119333,0.3912379385335549,0.3504792301455057,0.32544029549147324,0.30888497692004235,0.29732341755353664
Cabo Verde,2020-05-03,165,2,33,13.0,15.0,0.0,65.87864320000001,75.3421067672611,83.39134082859063,90.241774559021,96.10458211207305,101.15924440000002,-0.003323244118336177,0.007105666273202082,0.015441548596839104,0.0222648714370004,0.02793724533176189,0.03271438610469768
Cabo Verde,2020-05-04,175,2,37,10.0,4.0,0.0,62.70291456000001,72.78508897271759,81.47829213879197,88.96155273914337,95.4262952107316,101.04331996000002,-0.048205738396263735,-0.03393876152736719,-0.02294061554581417,-0.01418657629610687,-0.007057799809695453,-0.0011459599237576554
Cabo Verde,2020-05-05,186,2,37,11.0,0.0,0.0,61.16233164800001,71.654240810598,80.83853611896457,88.84135864675045,95.82337352065029,101.93898796400002,-0.02456955825435869,-0.01553681087816594,-0.007851858489346329,-0.0013510790750849155,0.0041610995066070355,0.00886419809201211
Cabo Verde,2020-05-06,191,2,38,5.0,1.0,0.0,53.92986531840001,64.71186734216501,74.29017381625533,82.73618881590664,90.17633201835581,96.7450891676,-0.1182503370084731,-0.09688712614768492,-0.08100545379832758,-0.0687199061770215,-0.05893177514854998,-0.05095105317539783
