Country/Region,Date,total_cases,total_deaths,total_recovered,new_cases,new_recovered,new_deaths,infected_5,infected_6,infected_7,infected_8,infected_9,infected_10,gr_infected_5,gr_infected_6,gr_infected_7,gr_infected_8,gr_infected_9,gr_infected_10
Kazakhstan,2020-03-27,150,1,3,39.0,1.0,0.0,127.8,131.5,134.14285714285714,136.125,137.66666666666666,138.9,0.15135135135135136,0.18468468468468455,0.20849420849420874,0.2263513513513513,0.2402402402402401,0.25135135135135145
Kazakhstan,2020-03-28,228,1,16,78.0,13.0,0.0,180.24,187.58333333333331,192.97959183673473,197.109375,200.37037037037038,203.01,0.41032863849765255,0.4264892268694551,0.4386125057051575,0.4480027548209367,0.4554748453053537,0.4615550755939524
Kazakhstan,2020-03-29,284,1,20,56.0,4.0,0.0,200.192,212.31944444444446,221.4110787172012,228.470703125,234.1069958847736,238.709,0.1106968486462494,0.13186731822893538,0.1473289823543631,0.15910622275069364,0.16837132881495176,0.17584848037042522
Kazakhstan,2020-03-30,302,1,21,18.0,1.0,0.0,178.1536,194.9328703703704,207.78092461474392,217.911865234375,226.0951074531321,232.8381,-0.11008631713554984,-0.08188875079043201,-0.061560397887164935,-0.04621528163656108,-0.03422319098735915,-0.02459438060567476
Kazakhstan,2020-03-31,343,2,24,41.0,3.0,1.0,183.52288,203.4440586419753,219.0979353840662,231.6728820800781,241.97342884722846,250.55428999999998,0.03013848723797885,0.043662150233738206,0.05446607185094443,0.06314946104886254,0.0702285050435596,0.07608801995893287
Kazakhstan,2020-04-01,380,3,26,37.0,2.0,1.0,183.818304,206.53671553497944,224.7982303291996,239.7137718200684,252.08749230864757,262.49886100000003,0.0016097393414924446,0.01520151000549319,0.026017109358612345,0.03470794539177402,0.041798240036531535,0.0476725862486731
Kazakhstan,2020-04-02,435,3,27,55.0,1.0,0.0,202.0546432,227.11392961248288,247.68419742502826,264.7495503425598,279.07777094102005,291.2489749,0.0992085053727838,0.09962981169814557,0.10180670489404607,0.104440301165857,0.10706710747602853,0.10952471866154112
Kazakhstan,2020-04-03,464,6,29,29.0,2.0,3.0,190.64371456000003,218.26160801040243,241.30074065002427,260.65585654973984,277.0691297253511,291.1240774100001,-0.05647446878369966,-0.03897744897102928,-0.025772563778261315,-0.015462514620036671,-0.007197424606395608,-0.0004288340930396206
Kazakhstan,2020-04-04,531,5,36,67.0,7.0,-1.0,219.51497164800003,248.884673342002,273.8292062714494,295.07387448102236,313.28367086697875,329.01166966900007,0.15144090721602854,0.14030440630740748,0.13480466547180425,0.13204390795920862,0.13070579597779752,0.13014242104627316
Kazakhstan,2020-04-05,584,6,42,53.0,6.0,1.0,228.6119773184,260.40389445166835,287.7107482326709,311.18964017089456,331.4743741039811,349.11050270210006,0.04144139054436513,0.04628336873856975,0.0506941613359555,0.05461603714736429,0.05806463894738445,0.06108851109542801
Kazakhstan,2020-04-06,662,6,46,78.0,4.0,0.0,260.88958185472006,295.0032453763903,324.60921277086084,350.2909351495328,372.6438880924276,392.19945243189005,0.1411894727255052,0.13286802410377807,0.12824847443082033,0.1256510176790111,0.12420119684887587,0.1234249597084116
Kazakhstan,2020-04-07,697,6,51,35.0,5.0,0.0,243.7116654837761,280.83603781365855,313.23646808930926,341.5045682558412,366.2390116377134,387.9795071887011,-0.06584362721126114,-0.04802390409182111,-0.03503518764755287,-0.02508305528928645,-0.017187660013695427,-0.010759691827774365
Kazakhstan,2020-04-08,727,7,54,30.0,3.0,1.0,224.96933238702087,264.03003151138216,298.48840121940793,328.816497223861,355.54578812241186,379.18155646983104,-0.07690371759411285,-0.059842769585816365,-0.047082853921390784,-0.03715344452573988,-0.029197390708009308,-0.022676328403579915
Kazakhstan,2020-04-09,781,8,60,54.0,6.0,1.0,233.9754659096167,274.0250262594851,309.8472010452068,341.7144350708784,370.040700553255,395.2634008228479,0.04003271657979735,0.03785552230891609,0.0380544094155586,0.03922533679396367,0.040768061147310235,0.04241198992571893
Kazakhstan,2020-04-10,812,10,64,31.0,4.0,2.0,218.18037272769337,259.35418854957095,296.5833151816059,330.0001306870185,359.9250671584489,386.73706074056315,-0.0675074761386516,-0.05353831330727354,-0.04280782856471799,-0.0342809761063505,-0.02733654265512431,-0.021571286551031243
Kazakhstan,2020-04-11,865,10,81,53.0,17.0,0.0,227.5442981821547,269.12849045797583,307.21427015566223,341.75011435114124,372.93339302973226,401.0633546665068,0.042918275999776816,0.03768707944555372,0.0358447506311903,0.035605997002669865,0.03614176132266112,0.03704401615534403
Kazakhstan,2020-04-12,951,10,99,86.0,18.0,0.0,268.03543854572376,310.2737420483131,349.32651727628195,385.03135005724863,417.49634935976206,446.9570191998561,0.1779483849388963,0.15288329942445156,0.1370777701806687,0.12664585581275545,0.11949307078134708,0.11442996224751313
Kazakhstan,2020-04-13,1091,12,138,140.0,39.0,2.0,354.42835083657906,398.5614517069277,439.422729093956,476.9024313000925,511.1078660975663,542.2613172798706,0.3223189916960092,0.2845477966513425,0.25791403561389825,0.23860675560362574,0.22422116236790848,0.21322922336163
Kazakhstan,2020-04-14,1232,14,203,141.0,65.0,2.0,424.5426806692632,473.1345430891064,517.6480535091051,558.2896273875808,595.3181031978366,629.0351855518836,0.1978237058835417,0.18710562966589706,0.17801838465762046,0.17065796008969225,0.164760205596592,0.16002223560274276
Kazakhstan,2020-04-15,1295,16,240,63.0,37.0,2.0,402.6341445354106,457.2787859075887,506.698331579233,551.5034239641334,592.1716472869658,629.1316669966952,-0.0516050261408707,-0.03351215296603605,-0.021152831263721802,-0.012155345703273037,-0.005285335510492707,0.00015338004459475307
Kazakhstan,2020-04-16,1402,17,277,107.0,37.0,1.0,429.1073156283285,488.06565492299063,541.3128556393426,589.5654959686167,633.3747975884141,673.2185002970258,0.06574994061535587,0.06732625690102245,0.0683138702119388,0.06901511459511568,0.06957974176950278,0.07007568624035265
Kazakhstan,2020-04-17,1546,17,347,144.0,70.0,0.0,487.2858525026628,550.7213791024922,607.9824476908651,659.8698089725398,706.9998200785902,749.8966502673231,0.1355803892300118,0.12837560592004316,0.12316277242811703,0.119247672200385,0.11624242513359362,0.11389786516037036
Kazakhstan,2020-04-18,1615,17,377,69.0,30.0,0.0,458.8286820021303,527.9344825854101,590.1278123064559,646.3860828509722,697.4442845143025,743.9069852405909,-0.058399336558569666,-0.04137645165367965,-0.029367024413651462,-0.020433918840085274,-0.013515612441352132,-0.007987320685586606
Kazakhstan,2020-04-19,1676,17,400,61.0,23.0,0.0,428.06294560170426,500.94540215450854,566.8238391198195,626.5878224946008,680.9504751238244,730.5162867165317,-0.06705277504923546,-0.05112202616265993,-0.039489704942994086,-0.030629156291621662,-0.023648927601384373,-0.018000501124113444
Kazakhstan,2020-04-20,1852,19,447,176.0,47.0,2.0,518.4503564813634,593.4545017954238,661.8490049598453,724.2643446827756,781.2893112211772,833.4646580448787,0.2111544851250944,0.1846690262911772,0.16764497059189276,0.15588640359989858,0.1473511507266474,0.14092549776141386
Kazakhstan,2020-04-21,1995,19,489,143.0,42.0,0.0,557.7602851850908,637.5454181628531,710.2991471084388,776.7313015974288,837.4793877521574,893.1181922403907,0.07582197256168799,0.07429536086429156,0.0732042229957468,0.07244172283205996,0.07191967907912833,0.07157296187632722
Kazakhstan,2020-04-22,2135,19,515,140.0,26.0,0.0,586.2082281480726,671.2878484690443,748.8278403786618,819.6398888977501,884.4261224463621,943.8063730163518,0.05100388772488795,0.052925531805127164,0.0542429107891651,0.055242510778277465,0.05605718227909162,0.056754168951378636
Kazakhstan,2020-04-23,2289,20,560,154.0,45.0,1.0,622.9665825184583,713.4065403908702,795.8524346102816,871.1849027855313,940.1565532856553,1003.4257357147168,0.06270528560561339,0.06274311685796619,0.06279760406322588,0.06288739065286197,0.06301309903097407,0.06316906136989164
Kazakhstan,2020-04-24,2482,25,604,193.0,44.0,5.0,691.3732660147667,787.5054503257253,875.1592296659558,955.2867899373399,1028.6947140316934,1096.0831621432449,0.10980795024311217,0.10386631708514572,0.099650125584537,0.09653735605713633,0.09417384842621734,0.09234109025769643
Kazakhstan,2020-04-25,2601,25,646,119.0,42.0,0.0,672.0986128118133,775.2545419381046,869.1364825708192,954.8759411951725,1033.395301361505,1105.4748459289203,-0.027878794495565073,-0.015556601395652068,-0.006881887193757152,-0.0004300789527241777,0.004569467759184764,0.008568404396716911
Kazakhstan,2020-04-26,2717,25,682,116.0,36.0,0.0,653.6788902494508,762.0454516150871,860.9741279178452,951.516448545776,1034.5736012102266,1110.9273613360285,-0.02740627969056697,-0.017038391403673914,-0.009391338203673992,-0.003518250386737809,0.001140221798153318,0.004932283558678696
Kazakhstan,2020-04-27,2835,25,720,118.0,38.0,0.0,640.9431121995606,753.0378763459059,855.9778239295814,950.576892477554,1037.6209788535348,1117.8346252024257,-0.01948323288370224,-0.01182025986782076,-0.005803082608703325,-0.0009874301906792617,0.0029455397274233963,0.006217565708428019
Kazakhstan,2020-04-28,3027,25,774,192.0,54.0,0.0,704.7544897596484,819.5315636215885,925.6952776539273,1023.7547809178596,1114.32975898092,1198.051162682183,0.09955856665828387,0.0883005880107135,0.0814477335455841,0.07698260816079516,0.07392755321132816,0.07176064837429008
Kazakhstan,2020-04-29,3138,25,819,111.0,45.0,0.0,674.8035918077187,793.942969684657,904.4530951319375,1006.7854333031273,1101.5153413163732,1189.246046413965,-0.04249834287986465,-0.031223439185005808,-0.022947273292595268,-0.01657559791761687,-0.011499663866345822,-0.007349532759941101
Kazakhstan,2020-04-30,3402,25,866,264.0,47.0,0.0,803.8428734461751,925.6191414038808,1039.2455101130895,1144.9372541402365,1243.124747836776,1334.3214417725685,0.19122494782930155,0.16585091970966606,0.14903195721994744,0.1372207188018717,0.12855872379514174,0.121989386297362
Kazakhstan,2020-05-01,3597,25,922,195.0,56.0,0.0,838.0742987569403,966.349284503234,1085.7818658112196,1196.8200973727064,1299.999775854912,1395.8892975953115,0.04258472201664332,0.04400313398616418,0.04477898171825268,0.04531501009758876,0.04575166580595158,0.04614169711681604
Kazakhstan,2020-05-02,3857,25,985,260.0,63.0,0.0,930.4594390055522,1065.291070419362,1190.6701706953313,1307.2175852011185,1415.5553563154776,1516.3003678357807,0.11023502377490968,0.10238718805177194,0.09660163628331242,0.09224234124306507,0.08888892337275456,0.08626118879763611
Kazakhstan,2020-05-03,3920,27,1084,63.0,99.0,2.0,807.3675512044417,950.7425586828017,1083.57443202457,1206.8153870509786,1321.2714278359801,1427.6703310522025,-0.13229151389196225,-0.10752790004281854,-0.08994576441620206,-0.07680603388967777,-0.06660561034144741,-0.058451503846879575
Kazakhstan,2020-05-04,4049,29,1173,129.0,89.0,2.0,774.8940409635535,921.2854655690013,1057.7780845924883,1184.9634636696064,1303.46349140976,1413.9032979469823,-0.04022147062071535,-0.03098324866682245,-0.023806714767053868,-0.018107097088619684,-0.01347787899673758,-0.009643005675598615
Kazakhstan,2020-05-05,4205,29,1279,156.0,106.0,0.0,775.9152327708429,923.7378879741676,1062.6669296507046,1192.8430307109054,1314.634214586453,1428.5129681522842,0.0013178470259231911,0.002661957120588809,0.004621805962353065,0.006649628687198207,0.008570031497093566,0.010332863800880387
Kazakhstan,2020-05-06,4422,30,1408,217.0,129.0,1.0,837.7321862166742,986.7815733118064,1127.8573682720325,1260.7376518720425,1385.5637462990692,1502.661671337056,0.07966972529341798,0.0682484567953563,0.061346068840926415,0.05691831985695006,0.05395381538501076,0.0519062163507551
