Country/Region,Date,total_cases,total_deaths,total_recovered,new_cases,new_recovered,new_deaths,infected_5,infected_6,infected_7,infected_8,infected_9,infected_10,gr_infected_5,gr_infected_6,gr_infected_7,gr_infected_8,gr_infected_9,gr_infected_10
Uganda,2020-05-07,101,0,55,1.0,0.0,0.0,81.0,84.33333333333334,86.71428571428572,88.5,89.8888888888889,91.0,-0.18999999999999995,-0.15666666666666662,-0.13285714285714278,-0.115,-0.10111111111111117,-0.08999999999999997
Uganda,2020-05-08,101,0,55,0.0,0.0,0.0,64.8,70.27777777777779,74.3265306122449,77.4375,79.90123456790123,81.9,-0.20000000000000007,-0.16666666666666666,-0.1428571428571428,-0.125,-0.11111111111111116,-0.09999999999999998
Uganda,2020-05-09,116,0,55,15.0,0.0,0.0,66.84,73.56481481481481,78.70845481049564,82.7578125,86.02331961591221,88.71000000000002,0.031481481481481666,0.04677206851119897,0.058955048246646324,0.06870460048426152,0.07662065650322747,0.08315018315018308
Uganda,2020-05-10,121,0,55,5.0,0.0,0.0,58.47200000000001,66.30401234567901,72.46438983756771,77.4130859375,81.46517299192195,84.83900000000001,-0.12519449431478147,-0.09869939165093357,-0.07933156594118917,-0.06458274332106106,-0.052987336972602835,-0.04363656859429599
Uganda,2020-05-11,121,0,55,0.0,0.0,0.0,46.77760000000001,55.25334362139918,62.112334146486596,67.7364501953125,72.41348710393062,76.35510000000002,-0.2,-0.16666666666666666,-0.1428571428571428,-0.125,-0.11111111111111104,-0.10000000000000007
Uganda,2020-05-12,129,0,55,8.0,0.0,0.0,45.42208000000001,54.04445301783265,61.23914355413138,67.26939392089844,72.36754409238276,76.71959000000003,-0.02897797236284028,-0.021879048838201687,-0.014058247920547884,-0.006895198568382943,-0.0006344537928674178,0.00477361695551437
Uganda,2020-05-13,139,0,55,10.0,0.0,0.0,46.33766400000001,55.037044181527214,62.49069447496976,68.86071968078613,74.3267058598958,79.04763100000002,0.0201572451107479,0.018366198717323368,0.020437106860125898,0.023656014528076863,0.02707238157774161,0.030344805023071686
Uganda,2020-05-14,160,0,63,21.0,8.0,0.0,58.07013120000001,66.86420348460601,74.56345240711694,81.25312972068788,87.06818298657404,92.1428679,0.2531950510064556,0.214894522025376,0.193192891094895,0.1799634116133051,0.1714252902677491,0.1656626104329426
Uganda,2020-05-15,203,0,63,43.0,0.0,0.0,89.45610496,98.720169570505,106.91153063467165,114.09648850560188,120.39394043251026,125.92858111,0.5404839477958676,0.4764278107826876,0.4338328924327968,0.4042103842376888,0.3827547136371856,0.3666666121860529
Uganda,2020-05-16,227,0,63,24.0,0.0,0.0,95.56488396799999,106.26680797542083,115.63845482971857,123.83442744240163,131.01683594000912,137.33572299899998,0.06828800572897209,0.07644474718538752,0.08162753019473422,0.0853482790254465,0.08823446985235761,0.0905842167715345
Uganda,2020-05-17,227,0,63,0.0,0.0,0.0,76.45190717439999,88.5556733128507,99.11867556833022,108.35512401210144,116.45940972445256,123.6021506991,-0.2,-0.16666666666666666,-0.1428571428571428,-0.125,-0.11111111111111116,-0.09999999999999998
Uganda,2020-05-18,248,0,63,21.0,0.0,0.0,82.16152573952002,94.7963944273756,105.95886477285448,115.81073351058876,124.51947531062449,132.24193562918998,0.07468248701887026,0.07047229026736179,0.0690100948716652,0.06880717055572427,0.06920922581732425,0.0698999562808813
Uganda,2020-05-19,260,0,63,12.0,0.0,0.0,77.72922059161603,90.99699535614633,102.82188409101812,113.33439182176515,122.6839780538884,131.017742066271,-0.053946237098321685,-0.04007957363969172,-0.029605646385143288,-0.021382661293628532,-0.01474064400092645,-0.009257226590751566
Uganda,2020-05-20,264,0,65,4.0,2.0,0.0,66.18337647329281,79.8308294634553,92.13304350658696,103.16759284404452,113.05242493678969,121.91596785964391,-0.1485393013135211,-0.12270917131921365,-0.10395491853630467,-0.08970621198293828,-0.07850701672608051,-0.06946978373374246
Uganda,2020-05-21,160,0,66,,1.0,0.0,,,,,,,,,,,,
Uganda,2020-05-22,175,0,68,15.0,2.0,0.0,57.35736094290741,70.43807601628839,82.68958298443125,93.9876882712216,104.32537278956221,113.75193396631157,,,,,,
Uganda,2020-05-23,198,0,68,23.0,0.0,0.0,68.88588875432592,81.69839668024035,93.8767854152268,105.23922723731887,115.73366470183306,125.37674056968041,0.2009947393307343,0.15986127533279104,0.13529155701392104,0.11971290254132615,0.10935299445593992,0.10219436450910456
Uganda,2020-05-24,198,0,68,0.0,0.0,0.0,55.10871100346074,68.08199723353361,80.46581607019439,92.08432383265402,102.87436862385158,112.83906651271236,-0.2,-0.16666666666666666,-0.1428571428571429,-0.125,-0.11111111111111116,-0.09999999999999998
Uganda,2020-05-25,222,0,69,24.0,1.0,0.0,68.0869688027686,80.73499769461134,92.97069948873806,104.57378335357227,115.44388322120143,125.55515986144111,0.2355028372645631,0.18584943120390007,0.1554061591525404,0.13563068067498096,0.12218315179467898,0.11269229480284815
Uganda,2020-05-26,253,0,69,31.0,0.0,0.0,85.46957504221487,98.27916474550943,110.68917099034692,122.50206043437575,133.61678508551242,143.99964387529698,0.2553000455902137,0.21730559920569734,0.19058124332769144,0.17144141204288774,0.15741762453962127,0.14690343299479425
Uganda,2020-05-27,281,0,69,28.0,0.0,0.0,96.37566003377192,109.8993039545912,122.87643227744024,135.18930288007877,146.77047563156657,157.5996794877673,0.12760195644087768,0.11823603954278306,0.11010346520849934,0.10356758409381683,0.0984433994399434,0.0944449253238977
Uganda,2020-05-28,317,0,69,36.0,0.0,0.0,113.10052802701752,127.5827532954927,141.3226562378059,154.2906400200689,166.46264500583698,177.83971153899054,0.17353829781694774,0.16090592664907155,0.15012011350326593,0.14129325866066633,0.13416982734118155,0.12842686049240526
Uganda,2020-05-29,329,0,72,12.0,3.0,0.0,102.48042242161402,118.31896107957724,133.1337053466908,147.0043100175603,159.96679556074398,172.05574038509153,-0.0938996995917345,-0.07261006661660374,-0.057945067755699735,-0.047224705280636936,-0.03902286572981717,-0.0325235072855532
